Options:
Model:                           Discrete: Dependent
Tree File Name:                  pruned_tree.trees
Data File Name:                  BT_data.txt
Log File Name:                   res_dep.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2780318671
Precision:                       64 bits
Cores:                           5
Analysis Type:                   MCMC
Sample Period:                   30000
Iterations:                      30300000
Burn in:                         300000
MCMC ML Start:                   False
Schedule File:                   res_dep.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q13 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q21 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q24 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q31 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q34 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q42 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q43 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
Tree Information
     Trees:                      100
     Taxa:                       1993
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Shape	q12 - Scale	q13 - Shape	q13 - Scale	q21 - Shape	q21 - Scale	q24 - Shape	q24 - Scale	q31 - Shape	q31 - Scale	q34 - Shape	q34 - Scale	q42 - Shape	q42 - Scale	q43 - Shape	q43 - Scale	
2430000	-2261.334213	1	0.250462	0.207788	0.464086	0.502842	0.164056	0.282029	0.209296	0.094606	0.250000	0.250000	0.250000	0.250000	0.241325	1.556184	1.863163	0.762199	5.828426	0.166436	2.013475	0.133896	7.763990	0.017658	0.579084	1.126574	1.104995	2.270439	0.485576	1.498653	
2460000	-2264.995259	1	0.309579	0.221704	0.628382	0.658911	0.230131	0.310377	0.280199	0.116314	0.250000	0.250000	0.250000	0.250000	2.010399	1.617679	0.885788	3.902266	6.465133	0.223835	5.247441	0.313441	9.585383	0.023875	1.413076	4.485171	0.200400	2.531871	1.013047	1.716224	
2490000	-2261.602969	1	0.221844	0.240622	0.583480	0.490051	0.172372	0.307726	0.220584	0.103399	0.250000	0.250000	0.250000	0.250000	1.283522	1.492097	0.390506	3.270930	7.272058	0.171201	4.141392	0.102948	9.680577	0.035028	0.214566	1.854827	2.586793	3.000133	0.194149	0.253677	
2520000	-2262.884672	1	0.279748	0.214381	0.614560	0.460631	0.188801	0.368579	0.230849	0.122786	0.250000	0.250000	0.250000	0.250000	0.131005	2.538331	0.226392	0.910507	4.528208	0.218843	1.833857	1.701888	9.816126	0.022298	1.732409	0.483117	0.869911	1.414450	1.241858	5.362020	
2550000	-2268.550802	1	0.347703	0.252299	0.829616	0.392589	0.249814	0.351623	0.213559	0.125854	0.250000	0.250000	0.250000	0.250000	0.788658	1.710614	1.619628	0.380673	4.301469	0.494317	1.097955	1.299210	9.149346	0.023779	3.997124	0.195371	1.954835	0.581268	0.221846	2.989678	
2580000	-2262.230213	1	0.270176	0.227894	0.639332	0.431557	0.166535	0.326957	0.229901	0.122601	0.250000	0.250000	0.250000	0.250000	0.765304	1.954302	1.376038	0.212783	1.295223	4.563079	0.549750	2.014110	9.701785	0.021480	2.611521	0.557565	1.237796	0.279528	0.367552	2.236805	
2610000	-2264.066247	1	0.253939	0.223603	0.573614	0.397746	0.149879	0.404619	0.236580	0.122155	0.250000	0.250000	0.250000	0.250000	2.296689	0.213399	3.334075	2.293312	1.587194	4.254020	1.489873	0.451752	6.197656	0.031467	1.545914	0.316026	3.936638	0.035014	0.327859	1.818866	
2640000	-2266.051875	1	0.178417	0.220328	0.410270	0.530075	0.221737	0.331047	0.195614	0.143336	0.250000	0.250000	0.250000	0.250000	6.115359	0.035609	0.186755	8.763696	6.406903	0.150685	0.918315	2.867864	0.428400	1.618344	3.699875	1.892657	0.814078	2.992812	0.414382	2.553033	
2670000	-2263.000321	1	0.274165	0.216144	0.683977	0.520980	0.174221	0.346295	0.232135	0.082823	0.250000	0.250000	0.250000	0.250000	1.202282	0.123049	1.120408	0.411455	0.644978	1.458696	2.492866	1.579710	0.291735	5.377291	8.360836	0.063637	0.388047	3.203503	0.333628	3.511387	
2700000	-2263.285858	1	0.295715	0.198155	0.516327	0.465878	0.211170	0.313124	0.213858	0.129649	0.250000	0.250000	0.250000	0.250000	1.259324	1.025323	0.410903	0.311685	1.434201	0.382690	0.501230	8.898044	2.169853	0.066947	0.534823	5.229102	0.625538	7.554851	0.220422	8.930728	
2730000	-2265.848754	1	0.237059	0.244063	0.531232	0.690186	0.186696	0.259351	0.258505	0.121421	0.250000	0.250000	0.250000	0.250000	2.437639	0.163155	1.576235	1.150451	0.531297	1.842351	2.300276	6.521366	0.680830	8.328782	1.988017	7.500465	0.747928	6.525430	0.407108	3.562877	
2760000	-2260.787679	1	0.219869	0.215911	0.513610	0.442874	0.156359	0.282424	0.217987	0.088680	0.250000	0.250000	0.250000	0.250000	0.613260	9.874522	2.191912	3.830907	1.030795	1.375904	3.616314	0.126548	0.897884	1.925350	0.406951	5.635928	0.232016	8.899643	7.210129	0.018022	
2790000	-2262.777453	1	0.285816	0.204097	0.557121	0.416911	0.187138	0.300020	0.173683	0.112947	0.250000	0.250000	0.250000	0.250000	5.316493	0.048616	2.252936	0.096575	2.678586	0.766867	2.078637	1.024710	0.932298	0.158799	0.771677	3.250095	0.709211	9.911275	0.224030	9.345111	
2820000	-2264.913557	1	0.283731	0.175999	0.488240	0.453117	0.147357	0.289247	0.212973	0.084273	0.250000	0.250000	0.250000	0.250000	5.311652	0.090719	5.791417	0.080686	0.952852	6.363854	1.219412	3.193029	1.212572	2.545269	2.676824	0.085924	0.263256	7.883327	0.371591	5.408598	
2850000	-2263.110476	1	0.255714	0.194051	0.436616	0.562796	0.212010	0.238216	0.194998	0.109640	0.250000	0.250000	0.250000	0.250000	3.980907	0.244784	5.086635	0.086432	0.551227	5.952374	1.259087	6.506618	0.420687	2.619423	0.588103	2.304552	0.776127	5.699909	0.214247	3.753123	
2880000	-2270.364244	1	0.336130	0.251228	0.579797	0.592286	0.330214	0.266711	0.218509	0.108867	0.250000	0.250000	0.250000	0.250000	1.076693	7.505734	0.352348	9.527897	1.975854	0.276714	2.052373	0.183330	0.115149	4.125004	0.192465	3.890103	0.899602	8.266479	0.927663	1.378890	
2910000	-2265.416771	1	0.246571	0.257482	0.686445	0.383649	0.223721	0.316089	0.188459	0.064235	0.250000	0.250000	0.250000	0.250000	1.716780	1.618784	0.228273	1.126904	2.250370	0.327104	1.113746	1.255598	1.321683	0.274637	0.776646	5.412863	1.396937	0.549462	1.597117	1.662778	
2940000	-2262.798302	1	0.227738	0.235669	0.446476	0.541588	0.208755	0.365545	0.261266	0.118334	0.250000	0.250000	0.250000	0.250000	1.190021	4.772256	0.823848	1.227472	1.021320	0.973621	1.531788	7.206047	3.257110	0.127721	4.124441	0.096821	0.421762	2.737986	2.863404	0.160969	
2970000	-2266.405419	1	0.206814	0.211981	0.527324	0.647610	0.213441	0.244347	0.266393	0.112459	0.250000	0.250000	0.250000	0.250000	5.317452	0.144935	0.342540	8.718126	0.533831	1.301935	0.924305	8.287129	0.224519	0.777938	1.061125	1.975604	0.777206	4.362571	0.505109	0.522469	
3000000	-2263.845125	1	0.265122	0.179515	0.611044	0.625860	0.181212	0.335552	0.251545	0.117647	0.250000	0.250000	0.250000	0.250000	0.335782	0.895156	0.340127	3.454901	1.502484	0.433541	1.913325	1.058072	0.392963	3.866457	1.844533	0.913828	0.984072	0.563261	0.301651	4.936928	
3030000	-2265.344077	1	0.181331	0.236851	0.381417	0.611607	0.171727	0.385977	0.271852	0.143691	0.250000	0.250000	0.250000	0.250000	1.784413	7.609374	0.894040	4.005304	1.637019	0.464772	7.550889	0.077909	2.005434	0.097452	3.055753	0.099121	1.346722	1.396440	0.226676	2.008996	
3060000	-2265.089756	1	0.258552	0.206967	0.468425	0.526202	0.183560	0.318764	0.263007	0.161962	0.250000	0.250000	0.250000	0.250000	0.258096	3.211600	0.449505	6.240653	1.477872	0.759350	2.180157	0.827732	0.420828	1.385636	0.590632	1.956316	0.629924	2.103044	0.522389	4.774289	
3090000	-2267.346607	1	0.380931	0.262755	0.834586	0.444510	0.240590	0.318640	0.226354	0.082139	0.250000	0.250000	0.250000	0.250000	5.567614	0.175728	0.328417	0.821162	0.246589	7.760325	0.937177	1.410173	0.342221	8.983629	0.520652	4.957007	1.467172	1.983544	0.330634	2.448008	
3120000	-2263.665970	1	0.206819	0.226810	0.393776	0.408147	0.147265	0.327810	0.209122	0.115413	0.250000	0.250000	0.250000	0.250000	0.719983	1.001524	3.783728	0.094898	1.185585	2.267500	1.754133	0.569174	1.116143	2.441810	7.224865	0.040350	1.321338	9.729956	1.729917	0.078866	
3150000	-2263.349619	1	0.257849	0.231143	0.533495	0.592128	0.208528	0.306726	0.209200	0.130806	0.250000	0.250000	0.250000	0.250000	0.146336	6.497552	0.515527	4.946736	1.242106	7.414848	1.716028	0.384200	0.762647	0.098342	9.642464	0.024465	0.487698	7.338042	1.727811	0.529278	
3180000	-2265.852714	1	0.296438	0.249824	0.543284	0.594811	0.163319	0.261820	0.233610	0.099935	0.250000	0.250000	0.250000	0.250000	0.539479	4.487633	1.508971	5.163501	4.560706	0.146957	0.990483	0.842554	0.795825	1.756887	1.333971	0.963554	1.496921	0.288903	1.264238	0.883429	
3210000	-2263.316401	1	0.210454	0.224193	0.359046	0.469712	0.188926	0.298184	0.249208	0.114485	0.250000	0.250000	0.250000	0.250000	0.674299	0.902216	5.726796	0.037815	4.319851	0.102596	2.040900	0.153285	0.857079	2.904369	0.658230	6.127619	1.032473	2.875524	0.379163	0.858575	
3240000	-2265.320001	1	0.237206	0.226601	0.472771	0.654578	0.171577	0.312079	0.346262	0.077646	0.250000	0.250000	0.250000	0.250000	0.528407	0.192765	0.214430	3.943918	1.550221	1.039857	2.590624	0.310264	0.551426	8.789695	1.118723	5.487386	3.028674	0.301958	3.151798	0.031838	
3270000	-2265.260713	1	0.289813	0.219116	0.487067	0.524976	0.217762	0.362309	0.253772	0.142454	0.250000	0.250000	0.250000	0.250000	0.092907	3.109038	1.532823	0.159510	1.175622	1.060036	4.057401	0.751996	0.941618	0.579707	1.145287	2.210407	1.605518	1.146866	0.634009	6.088367	
3300000	-2261.298781	1	0.203183	0.214303	0.488495	0.525793	0.141678	0.336789	0.252638	0.096631	0.250000	0.250000	0.250000	0.250000	0.843770	8.463677	1.004577	4.206288	0.510858	4.186682	1.501215	0.935930	3.627442	0.040928	0.685244	5.941335	0.270860	7.205189	1.093170	1.318942	
3330000	-2263.828269	1	0.270626	0.224704	0.626901	0.332098	0.184741	0.307433	0.169224	0.114847	0.250000	0.250000	0.250000	0.250000	0.088429	6.563528	0.399096	7.505054	1.830534	1.760655	1.905855	0.500945	4.195859	0.053046	1.010879	8.906022	2.298481	0.229556	7.662453	0.014938	
3360000	-2264.123419	1	0.269125	0.187871	0.670651	0.546869	0.165534	0.252127	0.207581	0.085327	0.250000	0.250000	0.250000	0.250000	0.088429	6.563528	0.399096	7.505054	1.830534	1.760655	1.905855	0.500945	4.195859	0.053046	1.010879	8.906022	2.298481	0.229556	7.662453	0.014938	
3390000	-2261.626837	1	0.249489	0.227986	0.533421	0.430518	0.219466	0.297871	0.222318	0.093620	0.250000	0.250000	0.250000	0.250000	0.088429	6.563528	0.399096	7.505054	1.830534	1.760655	1.905855	0.500945	4.195859	0.053046	1.010879	8.906022	2.298481	0.229556	7.662453	0.014938	
3420000	-2264.504739	1	0.279258	0.210120	0.402132	0.517206	0.192635	0.258183	0.251910	0.110936	0.250000	0.250000	0.250000	0.250000	0.428021	7.730273	0.478920	8.079331	0.814127	1.607886	0.265886	2.079775	3.094479	0.362796	1.510496	7.012075	1.358619	1.129451	7.897487	0.010971	
3450000	-2265.907474	1	0.288381	0.204870	0.748111	0.550822	0.172779	0.378276	0.233765	0.134706	0.250000	0.250000	0.250000	0.250000	0.951930	0.869745	1.085136	3.607267	1.950840	0.253104	0.388672	1.096722	0.436368	1.324032	0.301870	1.512405	2.351255	0.129930	7.744602	0.035074	
3480000	-2263.714835	1	0.298163	0.198599	0.560909	0.558858	0.146839	0.263053	0.211645	0.093804	0.250000	0.250000	0.250000	0.250000	1.147933	4.216696	1.053974	2.741659	0.293499	1.875212	1.668045	3.934849	1.174569	0.250268	0.317463	4.809868	0.306702	3.216052	2.133633	0.639614	
3510000	-2260.203945	1	0.221426	0.220683	0.488838	0.489131	0.163035	0.315186	0.229761	0.101618	0.250000	0.250000	0.250000	0.250000	0.955590	9.248311	3.471935	0.099879	0.358863	3.259185	2.298746	9.120001	0.191245	5.257283	8.321632	0.047123	1.857727	0.178200	1.762096	0.226975	
3540000	-2263.025703	1	0.229117	0.207629	0.509361	0.491898	0.182062	0.393526	0.230833	0.124113	0.250000	0.250000	0.250000	0.250000	0.703102	7.776613	0.125073	2.976029	0.896095	4.411884	1.214929	1.079774	0.288852	2.964865	6.389324	0.116875	0.218745	4.238332	0.811966	4.982636	
3570000	-2264.145668	1	0.308990	0.226657	0.530177	0.508036	0.215010	0.230937	0.227190	0.089926	0.250000	0.250000	0.250000	0.250000	0.634409	6.054032	0.637428	6.374734	2.457378	2.384626	1.703853	1.307265	1.549778	1.845978	2.433336	0.180474	0.570035	3.489344	0.230327	6.317139	
3600000	-2262.131342	1	0.212548	0.192017	0.373600	0.534691	0.176227	0.333693	0.224582	0.126771	0.250000	0.250000	0.250000	0.250000	0.676874	0.575920	0.097676	4.794193	1.527725	0.190550	0.625719	3.007568	1.920207	0.259090	3.022076	0.059654	4.463567	0.069861	2.713698	0.949108	
3630000	-2263.813433	1	0.245182	0.162438	0.393291	0.551311	0.179766	0.303816	0.205093	0.132388	0.250000	0.250000	0.250000	0.250000	1.286049	3.091515	2.078928	5.414347	0.427733	1.765601	0.290772	6.345327	1.788344	0.093186	0.226273	5.421052	0.392589	7.584238	0.836568	8.084073	
3660000	-2263.284873	1	0.284340	0.236285	0.688107	0.425949	0.193321	0.260497	0.199114	0.102341	0.250000	0.250000	0.250000	0.250000	1.282472	1.374297	0.943769	3.778942	2.007940	1.745651	0.815790	1.530580	0.324491	3.360429	0.545647	7.531965	1.201023	2.127024	3.868430	0.104952	
3690000	-2260.091215	1	0.241811	0.211047	0.530069	0.500106	0.169651	0.296302	0.229638	0.105920	0.250000	0.250000	0.250000	0.250000	0.730166	7.951552	0.511299	6.334703	0.765089	2.011596	0.873184	8.181130	1.314123	1.378857	1.316475	0.456946	1.830918	0.369462	0.861284	6.673431	
3720000	-2268.092094	1	0.243382	0.182876	0.597947	0.367340	0.189452	0.223584	0.165526	0.083141	0.250000	0.250000	0.250000	0.250000	1.095096	5.699123	0.566455	0.411127	0.541765	2.882662	0.161222	6.871420	4.753823	0.034669	0.299746	2.080732	1.648998	0.820496	1.247798	8.743752	
3750000	-2264.782713	1	0.274284	0.201750	0.499657	0.543214	0.203593	0.210960	0.188223	0.102070	0.250000	0.250000	0.250000	0.250000	0.968517	0.875076	1.508370	1.898264	2.511930	1.027547	0.393327	7.003603	0.282232	3.464446	1.390557	2.920855	0.822404	0.863830	0.578035	3.347333	
3780000	-2263.685799	1	0.260155	0.197662	0.559862	0.466378	0.216887	0.231643	0.194776	0.087341	0.250000	0.250000	0.250000	0.250000	1.992017	0.336167	0.811068	6.048672	0.188373	5.835908	0.913843	8.471494	2.886583	2.275540	0.896290	4.528605	0.622329	1.971381	0.555915	6.311537	
3810000	-2263.148255	1	0.213349	0.199179	0.381397	0.551985	0.219293	0.322451	0.205086	0.117089	0.250000	0.250000	0.250000	0.250000	0.601353	0.590795	0.897259	3.557123	0.950487	1.026966	1.636128	0.265071	1.937329	4.985514	4.475967	0.059898	0.540644	0.159317	1.765723	2.145110	
3840000	-2262.575905	1	0.266575	0.200029	0.585296	0.368592	0.182843	0.292988	0.180992	0.099883	0.250000	0.250000	0.250000	0.250000	0.471537	9.616920	0.379504	5.709780	0.175203	7.616708	6.998224	0.046120	0.264938	5.111922	2.217695	0.523346	1.079926	3.175279	0.235677	1.970693	
3870000	-2264.652518	1	0.270055	0.208696	0.392078	0.479302	0.197283	0.338709	0.203708	0.136339	0.250000	0.250000	0.250000	0.250000	0.580211	2.011756	0.664527	3.180388	0.440154	2.817465	0.922262	1.151636	0.629613	0.521832	0.946394	1.626874	4.223989	0.094189	0.367386	3.113129	
3900000	-2264.599806	1	0.261335	0.212628	0.403538	0.522057	0.157504	0.243970	0.215947	0.099914	0.250000	0.250000	0.250000	0.250000	0.629546	1.597270	1.313415	0.874106	1.056026	5.647106	1.577318	9.341156	2.483612	0.083097	1.855921	8.377994	0.161352	1.593564	2.396009	0.264140	
3930000	-2262.550366	1	0.223727	0.235089	0.452628	0.594954	0.174693	0.292961	0.284355	0.121119	0.250000	0.250000	0.250000	0.250000	0.316058	6.879409	1.714985	1.946507	8.412359	0.046641	1.819448	1.441398	0.847771	0.460461	0.490358	5.383779	2.488402	0.171000	0.520936	6.961801	
3960000	-2265.027314	1	0.224178	0.226140	0.543091	0.555156	0.146534	0.398433	0.225282	0.103401	0.250000	0.250000	0.250000	0.250000	1.702457	0.248085	0.249344	2.085800	3.602044	0.169684	2.419338	0.449598	0.478610	0.414448	0.870309	5.603387	1.318810	7.665575	0.554815	6.092097	
3990000	-2260.946202	1	0.248235	0.195346	0.538341	0.562209	0.160495	0.296766	0.253073	0.115006	0.250000	0.250000	0.250000	0.250000	0.219120	0.869938	1.384255	3.937886	0.915369	4.375566	8.480795	0.073105	0.433338	6.575023	0.955752	2.702141	2.117113	0.264251	0.718887	9.309198	
4020000	-2265.204425	1	0.233360	0.215870	0.464295	0.494694	0.245141	0.356207	0.181190	0.123531	0.250000	0.250000	0.250000	0.250000	1.777716	1.886137	1.428959	0.035708	5.550611	0.100294	1.004202	0.573302	1.067384	4.758716	4.180957	0.161325	2.584123	0.070937	0.763960	3.774731	
4050000	-2267.575127	1	0.222369	0.273594	0.463720	0.624890	0.216458	0.367874	0.274218	0.158005	0.250000	0.250000	0.250000	0.250000	0.885777	3.702176	0.531592	2.159104	1.462828	3.642175	1.904794	4.338981	0.742521	9.719832	1.675885	1.160114	7.982654	0.063276	1.647219	0.306176	
4080000	-2264.634442	1	0.255287	0.191002	0.608417	0.466364	0.187359	0.292035	0.193596	0.138448	0.250000	0.250000	0.250000	0.250000	1.663245	6.793993	1.759265	0.852164	0.115238	0.917705	0.640392	3.406530	0.152268	7.529302	4.172845	0.083866	0.120160	4.251290	0.452778	7.371728	
4110000	-2262.167813	1	0.271953	0.240650	0.580049	0.410779	0.203026	0.306545	0.218171	0.116270	0.250000	0.250000	0.250000	0.250000	0.429789	3.316718	2.808769	0.085436	1.714551	1.782856	6.728731	0.055364	0.359093	9.346021	1.586082	1.096228	0.153998	3.550300	0.945894	9.310805	
4140000	-2262.495982	1	0.248567	0.242641	0.643402	0.517326	0.167050	0.277159	0.230309	0.097120	0.250000	0.250000	0.250000	0.250000	1.149807	2.002818	1.848970	1.255272	4.391684	0.768927	0.701936	0.965294	0.234983	1.071446	1.772493	1.167516	1.586034	0.838475	0.859997	0.402151	
4170000	-2264.058981	1	0.258776	0.189161	0.509236	0.524444	0.128196	0.306732	0.213691	0.133985	0.250000	0.250000	0.250000	0.250000	0.362977	2.012812	0.443691	3.351893	0.726851	3.698499	4.125758	0.175146	0.817950	1.565169	0.039211	7.301079	1.080783	1.001526	0.073198	5.386380	
4200000	-2261.302962	1	0.244811	0.233867	0.500911	0.447622	0.177785	0.306186	0.208048	0.119257	0.250000	0.250000	0.250000	0.250000	1.928974	0.497269	6.447654	0.073955	0.786899	8.370773	0.962667	2.645617	0.265875	3.178469	0.389448	4.394133	0.878989	6.787665	0.154972	4.931331	
4230000	-2261.041719	1	0.211119	0.219921	0.434891	0.527667	0.178294	0.272566	0.231302	0.091802	0.250000	0.250000	0.250000	0.250000	3.259738	0.036709	5.115743	0.048506	0.493675	7.236782	2.770194	0.212042	1.245395	1.446252	0.787424	4.606964	0.207128	5.200073	0.477726	4.867308	
4260000	-2270.203852	1	0.303835	0.224376	0.556544	0.710149	0.192653	0.178415	0.270473	0.079435	0.250000	0.250000	0.250000	0.250000	1.764473	0.490898	1.697913	2.777417	1.334604	6.846652	1.888289	0.396114	1.732894	0.433782	2.893557	0.067382	4.554004	0.102241	0.213172	2.517204	
4290000	-2264.164212	1	0.326718	0.252715	0.757223	0.440724	0.211032	0.346185	0.226436	0.095574	0.250000	0.250000	0.250000	0.250000	0.628902	0.895684	0.984300	2.377894	3.589641	1.119583	7.463476	0.039862	1.589292	1.316541	0.458027	4.002320	1.723504	4.950315	0.302661	1.171384	
4320000	-2263.233495	1	0.241088	0.187379	0.486925	0.598362	0.161187	0.325619	0.213389	0.103630	0.250000	0.250000	0.250000	0.250000	1.058219	1.487689	0.440804	5.366951	6.768756	0.072310	6.570432	0.225604	0.814625	0.394884	0.976768	0.601499	0.204828	9.672594	0.965512	0.716148	
4350000	-2262.711825	1	0.311014	0.228626	0.595420	0.515925	0.173852	0.259571	0.223646	0.092701	0.250000	0.250000	0.250000	0.250000	0.424545	1.937849	0.657972	4.881318	6.583811	0.111368	6.160942	0.106078	1.825565	0.086181	0.194728	0.342515	0.659665	9.793071	0.577695	0.957233	
4380000	-2266.153481	1	0.195371	0.247002	0.562143	0.559209	0.163405	0.284808	0.209906	0.097237	0.250000	0.250000	0.250000	0.250000	0.424545	1.937849	0.657972	4.881318	6.583811	0.111368	6.160942	0.106078	1.825565	0.086181	0.194728	0.342515	0.659665	9.793071	0.577695	0.957233	
4410000	-2265.659282	1	0.314233	0.196190	0.507815	0.499159	0.246291	0.310739	0.215799	0.127576	0.250000	0.250000	0.250000	0.250000	1.358804	4.816928	1.141066	1.433324	7.503489	0.088809	8.101125	0.060460	1.154868	1.049205	1.984778	0.319669	0.038699	8.972270	0.758436	0.477836	
4440000	-2262.229587	1	0.268885	0.229565	0.682332	0.473886	0.186641	0.273588	0.215591	0.070191	0.250000	0.250000	0.250000	0.250000	1.458995	4.969437	0.387895	1.306761	8.202001	0.055154	8.009303	0.094648	1.033763	2.001212	0.818855	1.304161	0.193031	8.490606	0.690777	1.531089	
4470000	-2263.477114	1	0.290880	0.192274	0.625228	0.497471	0.209949	0.272743	0.184702	0.110358	0.250000	0.250000	0.250000	0.250000	1.002999	4.011501	0.785456	0.464984	9.849286	0.062380	9.175030	0.063174	0.439566	4.515866	0.583275	0.639211	0.317825	8.123369	1.236138	1.628111	
4500000	-2263.170199	1	0.241717	0.220900	0.470778	0.595704	0.259497	0.300583	0.237885	0.110360	0.250000	0.250000	0.250000	0.250000	0.672304	4.862778	0.255218	3.431133	8.843530	0.069375	9.014685	0.103615	0.484224	7.134188	1.577858	0.136553	0.928400	7.654056	0.737715	1.044111	
4530000	-2266.652663	1	0.286732	0.212940	0.513957	0.766473	0.241041	0.236707	0.232463	0.114625	0.250000	0.250000	0.250000	0.250000	0.558678	7.423683	2.161431	0.372470	8.667326	0.112028	5.886993	0.259042	0.866495	7.537274	0.306544	3.952605	0.989385	7.629506	1.381115	0.694061	
4560000	-2264.733899	1	0.313062	0.179517	0.626782	0.546840	0.194759	0.255615	0.203672	0.126565	0.250000	0.250000	0.250000	0.250000	0.788026	9.202958	0.547260	0.491620	8.150373	0.091576	0.670438	0.477928	0.144771	3.748129	1.749267	1.688109	0.102344	6.398124	0.759357	3.690746	
4590000	-2263.506751	1	0.207487	0.174565	0.348069	0.629826	0.162606	0.286579	0.250976	0.138371	0.250000	0.250000	0.250000	0.250000	0.798435	2.048112	0.379332	5.550720	8.783060	0.034776	1.699737	0.459930	0.827479	2.322151	0.923911	1.963348	0.158901	4.716093	0.921295	1.932046	
4620000	-2261.244769	1	0.241429	0.196118	0.506336	0.442879	0.185695	0.303136	0.211671	0.096739	0.250000	0.250000	0.250000	0.250000	0.887143	1.128276	4.620783	0.044512	0.774015	3.009194	1.363007	1.193889	1.095143	1.660238	0.700519	7.652439	1.229236	5.489444	0.179385	3.467690	
4650000	-2264.322968	1	0.303300	0.223048	0.735223	0.380927	0.172744	0.320831	0.167619	0.094754	0.250000	0.250000	0.250000	0.250000	0.295886	9.305092	0.282842	0.881604	0.891264	2.944799	2.103508	1.368370	3.629439	0.056855	0.729094	5.324458	0.988201	3.670444	0.783779	0.786044	
4680000	-2265.196663	1	0.176199	0.221534	0.450739	0.483385	0.148270	0.398874	0.233227	0.141457	0.250000	0.250000	0.250000	0.250000	0.642846	1.206621	0.696449	1.841351	1.251515	9.053690	2.063075	1.948798	1.043882	4.724135	1.561113	3.304444	1.433063	0.489929	3.353705	0.070374	
4710000	-2266.712593	1	0.208554	0.234261	0.338557	0.656130	0.216004	0.305480	0.296937	0.082824	0.250000	0.250000	0.250000	0.250000	0.357510	9.819706	0.870346	7.736584	0.305476	5.688352	6.394129	0.228997	1.119748	9.646590	1.447486	2.583420	0.852231	1.879144	6.201963	0.015597	
4740000	-2262.387029	1	0.271167	0.245788	0.632967	0.431576	0.158354	0.338236	0.217000	0.118215	0.250000	0.250000	0.250000	0.250000	1.507335	0.592584	2.154185	2.326712	1.298823	2.202361	4.192943	0.477916	0.465508	3.983882	0.700775	4.785708	0.523934	0.658599	0.583652	7.743524	
4770000	-2261.399410	1	0.238125	0.191180	0.398600	0.613875	0.195166	0.297405	0.257649	0.119257	0.250000	0.250000	0.250000	0.250000	0.184456	4.871029	1.257762	4.429092	3.887552	0.155547	1.476124	2.259230	7.006606	0.023386	0.566142	1.778525	0.646310	2.765512	1.590679	0.191384	
4800000	-2267.018964	1	0.195097	0.268804	0.574500	0.458287	0.220744	0.301742	0.276613	0.086306	0.250000	0.250000	0.250000	0.250000	1.043186	1.745905	0.366589	7.402181	0.892524	7.261859	0.704418	2.254914	1.129274	8.060404	1.144337	6.918634	1.764538	0.410668	0.289441	1.778615	
4830000	-2261.079167	1	0.245083	0.198853	0.500080	0.558157	0.206092	0.275256	0.237077	0.110052	0.250000	0.250000	0.250000	0.250000	1.347893	1.819817	0.937312	1.464457	0.517965	3.079256	1.300725	0.971568	0.610873	0.596897	0.494221	3.221978	0.952884	5.847374	0.966617	5.555544	
4860000	-2263.712254	1	0.205067	0.270976	0.498784	0.509011	0.209208	0.321271	0.216152	0.095035	0.250000	0.250000	0.250000	0.250000	2.603383	0.120336	3.332112	0.101522	1.138057	3.979310	1.379009	1.344110	4.199257	0.033776	1.347973	2.520180	0.287190	9.633330	0.612977	4.507699	
4890000	-2261.099352	1	0.230795	0.208702	0.499087	0.484782	0.179303	0.303748	0.245415	0.117213	0.250000	0.250000	0.250000	0.250000	1.301703	0.351749	0.169447	3.735878	0.537322	6.752137	1.366280	1.594631	0.756679	1.419111	0.537491	6.509344	1.773319	0.154864	0.492519	5.193690	
4920000	-2263.030582	1	0.211042	0.218093	0.478416	0.537481	0.215320	0.319666	0.232747	0.083165	0.250000	0.250000	0.250000	0.250000	0.664406	3.911222	1.075934	4.359621	3.977048	0.188111	0.587589	1.772018	0.816925	0.664740	1.271533	2.384513	1.045421	0.298410	2.075705	0.308875	
